"","x","y"
"22x9_1",22,-9
"11x9_1",11,-9
"19x9_1",19,-9
"18x9_1",18,-9
"21x9_1",21,-9
"23x9_1",23,-9
"14x9_1",14,-9
"17x9_1",17,-9
"24x9_1",24,-9
"15x9_1",15,-9
"12x9_1",12,-9
"13x9_1",13,-9
"20x9_1",20,-9
"16x9_1",16,-9
"22x10_1",22,-10
"31x10_1",31,-10
"20x10_1",20,-10
"11x10_1",11,-10
"21x10_1",21,-10
"29x10_1",29,-10
"17x10_1",17,-10
"19x10_1",19,-10
"27x10_1",27,-10
"28x10_1",28,-10
"16x10_1",16,-10
"24x10_1",24,-10
"18x10_1",18,-10
"26x10_1",26,-10
"8x10_1",8,-10
"9x10_1",9,-10
"15x10_1",15,-10
"10x10_1",10,-10
"7x10_1",7,-10
"6x10_1",6,-10
"12x10_1",12,-10
"14x10_1",14,-10
"25x10_1",25,-10
"23x10_1",23,-10
"13x10_1",13,-10
"22x11_1",22,-11
"32x11_1",32,-11
"21x11_1",21,-11
"31x11_1",31,-11
"27x11_1",27,-11
"29x11_1",29,-11
"28x11_1",28,-11
"6x11_1",6,-11
"30x11_1",30,-11
"7x11_1",7,-11
"8x11_1",8,-11
"9x11_1",9,-11
"16x11_1",16,-11
"20x11_1",20,-11
"18x11_1",18,-11
"26x11_1",26,-11
"10x11_1",10,-11
"17x11_1",17,-11
"19x11_1",19,-11
"25x11_1",25,-11
"24x11_1",24,-11
"23x11_1",23,-11
"15x11_1",15,-11
"12x11_1",12,-11
"13x11_1",13,-11
"14x11_1",14,-11
"31x12_1",31,-12
"22x12_1",22,-12
"27x12_1",27,-12
"11x12_1",11,-12
"18x12_1",18,-12
"29x12_1",29,-12
"20x12_1",20,-12
"21x12_1",21,-12
"28x12_1",28,-12
"30x12_1",30,-12
"9x12_1",9,-12
"25x12_1",25,-12
"16x12_1",16,-12
"26x12_1",26,-12
"10x12_1",10,-12
"19x12_1",19,-12
"17x12_1",17,-12
"8x12_1",8,-12
"12x12_1",12,-12
"6x12_1",6,-12
"24x12_1",24,-12
"7x12_1",7,-12
"14x12_1",14,-12
"23x12_1",23,-12
"15x12_1",15,-12
"13x12_1",13,-12
"22x13_1",22,-13
"29x13_1",29,-13
"30x13_1",30,-13
"11x13_1",11,-13
"31x13_1",31,-13
"20x13_1",20,-13
"21x13_1",21,-13
"28x13_1",28,-13
"16x13_1",16,-13
"10x13_1",10,-13
"25x13_1",25,-13
"26x13_1",26,-13
"19x13_1",19,-13
"9x13_1",9,-13
"8x13_1",8,-13
"15x13_1",15,-13
"17x13_1",17,-13
"18x13_1",18,-13
"6x13_1",6,-13
"23x13_1",23,-13
"24x13_1",24,-13
"14x13_1",14,-13
"12x13_1",12,-13
"7x13_1",7,-13
"13x13_1",13,-13
"19x14_1",19,-14
"31x14_1",31,-14
"20x14_1",20,-14
"30x14_1",30,-14
"27x14_1",27,-14
"28x14_1",28,-14
"9x14_1",9,-14
"26x14_1",26,-14
"11x14_1",11,-14
"18x14_1",18,-14
"25x14_1",25,-14
"5x14_1",5,-14
"10x14_1",10,-14
"14x14_1",14,-14
"29x14_1",29,-14
"6x14_1",6,-14
"8x14_1",8,-14
"17x14_1",17,-14
"23x14_1",23,-14
"12x14_1",12,-14
"24x14_1",24,-14
"7x14_1",7,-14
"15x14_1",15,-14
"13x14_1",13,-14
"21x14_1",21,-14
"16x14_1",16,-14
"30x15_1",30,-15
"31x15_1",31,-15
"22x15_1",22,-15
"11x15_1",11,-15
"29x15_1",29,-15
"19x15_1",19,-15
"27x15_1",27,-15
"18x15_1",18,-15
"23x15_1",23,-15
"25x15_1",25,-15
"9x15_1",9,-15
"21x15_1",21,-15
"8x15_1",8,-15
"16x15_1",16,-15
"20x15_1",20,-15
"17x15_1",17,-15
"26x15_1",26,-15
"10x15_1",10,-15
"24x15_1",24,-15
"14x15_1",14,-15
"15x15_1",15,-15
"6x15_1",6,-15
"7x15_1",7,-15
"12x15_1",12,-15
"13x15_1",13,-15
"22x16_1",22,-16
"31x16_1",31,-16
"20x16_1",20,-16
"11x16_1",11,-16
"19x16_1",19,-16
"21x16_1",21,-16
"27x16_1",27,-16
"30x16_1",30,-16
"16x16_1",16,-16
"26x16_1",26,-16
"28x16_1",28,-16
"29x16_1",29,-16
"10x16_1",10,-16
"9x16_1",9,-16
"18x16_1",18,-16
"25x16_1",25,-16
"15x16_1",15,-16
"8x16_1",8,-16
"14x16_1",14,-16
"12x16_1",12,-16
"17x16_1",17,-16
"23x16_1",23,-16
"5x16_1",5,-16
"6x16_1",6,-16
"7x16_1",7,-16
"24x16_1",24,-16
"13x16_1",13,-16
"31x17_1",31,-17
"22x17_1",22,-17
"30x17_1",30,-17
"11x17_1",11,-17
"29x17_1",29,-17
"20x17_1",20,-17
"16x17_1",16,-17
"19x17_1",19,-17
"25x17_1",25,-17
"27x17_1",27,-17
"28x17_1",28,-17
"21x17_1",21,-17
"26x17_1",26,-17
"9x17_1",9,-17
"8x17_1",8,-17
"10x17_1",10,-17
"23x17_1",23,-17
"5x17_1",5,-17
"15x17_1",15,-17
"18x17_1",18,-17
"17x17_1",17,-17
"24x17_1",24,-17
"14x17_1",14,-17
"7x17_1",7,-17
"12x17_1",12,-17
"13x17_1",13,-17
"6x17_1",6,-17
"22x18_1",22,-18
"11x18_1",11,-18
"21x18_1",21,-18
"9x18_1",9,-18
"20x18_1",20,-18
"29x18_1",29,-18
"28x18_1",28,-18
"10x18_1",10,-18
"27x18_1",27,-18
"19x18_1",19,-18
"15x18_1",15,-18
"17x18_1",17,-18
"30x18_1",30,-18
"16x18_1",16,-18
"14x18_1",14,-18
"8x18_1",8,-18
"25x18_1",25,-18
"26x18_1",26,-18
"23x18_1",23,-18
"12x18_1",12,-18
"7x18_1",7,-18
"13x18_1",13,-18
"24x18_1",24,-18
"6x18_1",6,-18
"5x18_1",5,-18
"22x19_1",22,-19
"11x19_1",11,-19
"5x19_1",5,-19
"20x19_1",20,-19
"21x19_1",21,-19
"29x19_1",29,-19
"27x19_1",27,-19
"30x19_1",30,-19
"9x19_1",9,-19
"17x19_1",17,-19
"19x19_1",19,-19
"18x19_1",18,-19
"28x19_1",28,-19
"26x19_1",26,-19
"10x19_1",10,-19
"16x19_1",16,-19
"8x19_1",8,-19
"15x19_1",15,-19
"25x19_1",25,-19
"23x19_1",23,-19
"6x19_1",6,-19
"7x19_1",7,-19
"24x19_1",24,-19
"12x19_1",12,-19
"13x19_1",13,-19
"14x19_1",14,-19
"20x20_1",20,-20
"22x20_1",22,-20
"30x20_1",30,-20
"21x20_1",21,-20
"29x20_1",29,-20
"19x20_1",19,-20
"11x20_1",11,-20
"28x20_1",28,-20
"16x20_1",16,-20
"27x20_1",27,-20
"26x20_1",26,-20
"17x20_1",17,-20
"18x20_1",18,-20
"8x20_1",8,-20
"10x20_1",10,-20
"25x20_1",25,-20
"7x20_1",7,-20
"24x20_1",24,-20
"9x20_1",9,-20
"15x20_1",15,-20
"6x20_1",6,-20
"12x20_1",12,-20
"23x20_1",23,-20
"5x20_1",5,-20
"13x20_1",13,-20
"14x20_1",14,-20
"4x20_1",4,-20
"22x21_1",22,-21
"29x21_1",29,-21
"30x21_1",30,-21
"11x21_1",11,-21
"19x21_1",19,-21
"28x21_1",28,-21
"9x21_1",9,-21
"16x21_1",16,-21
"17x21_1",17,-21
"21x21_1",21,-21
"27x21_1",27,-21
"10x21_1",10,-21
"14x21_1",14,-21
"20x21_1",20,-21
"18x21_1",18,-21
"8x21_1",8,-21
"23x21_1",23,-21
"15x21_1",15,-21
"26x21_1",26,-21
"25x21_1",25,-21
"24x21_1",24,-21
"5x21_1",5,-21
"6x21_1",6,-21
"12x21_1",12,-21
"13x21_1",13,-21
"4x21_1",4,-21
"7x21_1",7,-21
"11x22_1",11,-22
"22x22_1",22,-22
"20x22_1",20,-22
"28x22_1",28,-22
"29x22_1",29,-22
"27x22_1",27,-22
"21x22_1",21,-22
"19x22_1",19,-22
"16x22_1",16,-22
"18x22_1",18,-22
"8x22_1",8,-22
"6x22_1",6,-22
"7x22_1",7,-22
"17x22_1",17,-22
"9x22_1",9,-22
"15x22_1",15,-22
"10x22_1",10,-22
"14x22_1",14,-22
"23x22_1",23,-22
"26x22_1",26,-22
"5x22_1",5,-22
"4x22_1",4,-22
"12x22_1",12,-22
"25x22_1",25,-22
"13x22_1",13,-22
"22x23_1",22,-23
"27x23_1",27,-23
"21x23_1",21,-23
"29x23_1",29,-23
"30x23_1",30,-23
"20x23_1",20,-23
"11x23_1",11,-23
"28x23_1",28,-23
"16x23_1",16,-23
"19x23_1",19,-23
"23x23_1",23,-23
"25x23_1",25,-23
"18x23_1",18,-23
"8x23_1",8,-23
"26x23_1",26,-23
"7x23_1",7,-23
"9x23_1",9,-23
"10x23_1",10,-23
"17x23_1",17,-23
"24x23_1",24,-23
"6x23_1",6,-23
"5x23_1",5,-23
"15x23_1",15,-23
"4x23_1",4,-23
"12x23_1",12,-23
"14x23_1",14,-23
"13x23_1",13,-23
"22x24_1",22,-24
"5x24_1",5,-24
"20x24_1",20,-24
"11x24_1",11,-24
"9x24_1",9,-24
"16x24_1",16,-24
"21x24_1",21,-24
"18x24_1",18,-24
"28x24_1",28,-24
"19x24_1",19,-24
"29x24_1",29,-24
"17x24_1",17,-24
"27x24_1",27,-24
"15x24_1",15,-24
"23x24_1",23,-24
"26x24_1",26,-24
"10x24_1",10,-24
"8x24_1",8,-24
"7x24_1",7,-24
"6x24_1",6,-24
"25x24_1",25,-24
"4x24_1",4,-24
"14x24_1",14,-24
"24x24_1",24,-24
"13x24_1",13,-24
"12x24_1",12,-24
"21x25_1",21,-25
"22x25_1",22,-25
"11x25_1",11,-25
"20x25_1",20,-25
"27x25_1",27,-25
"19x25_1",19,-25
"10x25_1",10,-25
"16x25_1",16,-25
"25x25_1",25,-25
"28x25_1",28,-25
"7x25_1",7,-25
"15x25_1",15,-25
"5x25_1",5,-25
"26x25_1",26,-25
"9x25_1",9,-25
"14x25_1",14,-25
"18x25_1",18,-25
"6x25_1",6,-25
"8x25_1",8,-25
"12x25_1",12,-25
"23x25_1",23,-25
"24x25_1",24,-25
"3x25_1",3,-25
"13x25_1",13,-25
"4x25_1",4,-25
"17x25_1",17,-25
"28x26_1",28,-26
"20x26_1",20,-26
"27x26_1",27,-26
"22x26_1",22,-26
"11x26_1",11,-26
"21x26_1",21,-26
"26x26_1",26,-26
"16x26_1",16,-26
"19x26_1",19,-26
"9x26_1",9,-26
"8x26_1",8,-26
"10x26_1",10,-26
"25x26_1",25,-26
"15x26_1",15,-26
"17x26_1",17,-26
"7x26_1",7,-26
"14x26_1",14,-26
"18x26_1",18,-26
"23x26_1",23,-26
"3x26_1",3,-26
"6x26_1",6,-26
"12x26_1",12,-26
"4x26_1",4,-26
"13x26_1",13,-26
"24x26_1",24,-26
"5x26_1",5,-26
"20x27_1",20,-27
"11x27_1",11,-27
"9x27_1",9,-27
"22x27_1",22,-27
"19x27_1",19,-27
"27x27_1",27,-27
"21x27_1",21,-27
"23x27_1",23,-27
"25x27_1",25,-27
"8x27_1",8,-27
"17x27_1",17,-27
"18x27_1",18,-27
"26x27_1",26,-27
"16x27_1",16,-27
"10x27_1",10,-27
"24x27_1",24,-27
"5x27_1",5,-27
"15x27_1",15,-27
"6x27_1",6,-27
"7x27_1",7,-27
"14x27_1",14,-27
"12x27_1",12,-27
"4x27_1",4,-27
"13x27_1",13,-27
"3x27_1",3,-27
"22x28_1",22,-28
"27x28_1",27,-28
"11x28_1",11,-28
"20x28_1",20,-28
"21x28_1",21,-28
"19x28_1",19,-28
"26x28_1",26,-28
"10x28_1",10,-28
"16x28_1",16,-28
"7x28_1",7,-28
"9x28_1",9,-28
"6x28_1",6,-28
"8x28_1",8,-28
"12x28_1",12,-28
"17x28_1",17,-28
"25x28_1",25,-28
"4x28_1",4,-28
"18x28_1",18,-28
"5x28_1",5,-28
"23x28_1",23,-28
"15x28_1",15,-28
"14x28_1",14,-28
"3x28_1",3,-28
"24x28_1",24,-28
"13x28_1",13,-28
"22x29_1",22,-29
"11x29_1",11,-29
"19x29_1",19,-29
"15x29_1",15,-29
"21x29_1",21,-29
"17x29_1",17,-29
"16x29_1",16,-29
"10x29_1",10,-29
"20x29_1",20,-29
"5x29_1",5,-29
"18x29_1",18,-29
"6x29_1",6,-29
"9x29_1",9,-29
"23x29_1",23,-29
"8x29_1",8,-29
"24x29_1",24,-29
"25x29_1",25,-29
"14x29_1",14,-29
"7x29_1",7,-29
"13x29_1",13,-29
"3x29_1",3,-29
"4x29_1",4,-29
"12x29_1",12,-29
"11x30_1",11,-30
"19x30_1",19,-30
"20x30_1",20,-30
"22x30_1",22,-30
"3x30_1",3,-30
"9x30_1",9,-30
"16x30_1",16,-30
"18x30_1",18,-30
"10x30_1",10,-30
"21x30_1",21,-30
"25x30_1",25,-30
"8x30_1",8,-30
"6x30_1",6,-30
"17x30_1",17,-30
"12x30_1",12,-30
"7x30_1",7,-30
"14x30_1",14,-30
"23x30_1",23,-30
"24x30_1",24,-30
"13x30_1",13,-30
"4x30_1",4,-30
"5x30_1",5,-30
"15x30_1",15,-30
"22x31_1",22,-31
"19x31_1",19,-31
"11x31_1",11,-31
"21x31_1",21,-31
"9x31_1",9,-31
"23x31_1",23,-31
"10x31_1",10,-31
"20x31_1",20,-31
"16x31_1",16,-31
"17x31_1",17,-31
"18x31_1",18,-31
"15x31_1",15,-31
"12x31_1",12,-31
"8x31_1",8,-31
"6x31_1",6,-31
"13x31_1",13,-31
"5x31_1",5,-31
"14x31_1",14,-31
"3x31_1",3,-31
"7x31_1",7,-31
"4x31_1",4,-31
"11x32_1",11,-32
"20x32_1",20,-32
"16x32_1",16,-32
"19x32_1",19,-32
"10x32_1",10,-32
"9x32_1",9,-32
"8x32_1",8,-32
"14x32_1",14,-32
"17x32_1",17,-32
"18x32_1",18,-32
"5x32_1",5,-32
"6x32_1",6,-32
"7x32_1",7,-32
"12x32_1",12,-32
"3x32_1",3,-32
"4x32_1",4,-32
"13x32_1",13,-32
"11x33_1",11,-33
"9x33_1",9,-33
"16x33_1",16,-33
"8x33_1",8,-33
"18x33_1",18,-33
"17x33_1",17,-33
"6x33_1",6,-33
"15x33_1",15,-33
"10x33_1",10,-33
"14x33_1",14,-33
"12x33_1",12,-33
"13x33_1",13,-33
"14x34_1",14,-34
"16x34_1",16,-34
"15x34_1",15,-34
"12x34_1",12,-34
"13x34_1",13,-34
